(3*Sqrt[149453]*Cos[(57*Pi)/1189])/1189,(3*Sqrt[149453]*Sin[(57*Pi)/1189])/1189,-262/1189
(4*Sqrt[10]*Cos[(2*Pi)/41])/41,(4*Sqrt[10]*Sin[(2*Pi)/41])/41,39/41
(Sqrt[1392405]*Cos[(59*Pi)/1189])/1189,(Sqrt[1392405]*Sin[(59*Pi)/1189])/1189,146/1189
(130*Sqrt[42]*Cos[(60*Pi)/1189])/1189,(130*Sqrt[42]*Sin[(60*Pi)/1189])/1189,-839/1189
(Sqrt[1106805]*Cos[(61*Pi)/1189])/1189,(Sqrt[1106805]*Sin[(61*Pi)/1189])/1189,554/1189
(18*Sqrt[3790]*Cos[(62*Pi)/1189])/1189,(18*Sqrt[3790]*Sin[(62*Pi)/1189])/1189,-431/1189
(3*Sqrt[54253]*Cos[(63*Pi)/1189])/1189,(3*Sqrt[54253]*Sin[(63*Pi)/1189])/1189,962/1189
(2*Sqrt[353298]*Cos[(64*Pi)/1189])/1189,(2*Sqrt[353298]*Sin[(64*Pi)/1189])/1189,-23/1189
(13*Sqrt[2353]*Cos[(65*Pi)/1189])/1189,(13*Sqrt[2353]*Sin[(65*Pi)/1189])/1189,-1008/1189
(2*Sqrt[316374]*Cos[(66*Pi)/1189])/1189,(2*Sqrt[316374]*Sin[(66*Pi)/1189])/1189,385/1189
(Sqrt[1053721]*Cos[(67*Pi)/1189])/1189,(Sqrt[1053721]*Sin[(67*Pi)/1189])/1189,-600/1189
(6*Sqrt[21802]*Cos[(68*Pi)/1189])/1189,(6*Sqrt[21802]*Sin[(68*Pi)/1189])/1189,793/1189
(Sqrt[1376857]*Cos[(69*Pi)/1189])/1189,(Sqrt[1376857]*Sin[(69*Pi)/1189])/1189,-192/1189
(26*Sqrt[42]*Cos[(70*Pi)/1189])/1189,(26*Sqrt[42]*Sin[(70*Pi)/1189])/1189,-1177/1189
(Sqrt[1367065]*Cos[(71*Pi)/1189])/1189,(Sqrt[1367065]*Sin[(71*Pi)/1189])/1189,216/1189
(2*Sqrt[205590]*Cos[(72*Pi)/1189])/1189,(2*Sqrt[205590]*Sin[(72*Pi)/1189])/1189,-769/1189
(7*Sqrt[20905]*Cos[(73*Pi)/1189])/1189,(7*Sqrt[20905]*Sin[(73*Pi)/1189])/1189,624/1189
(30*Sqrt[1426]*Cos[(74*Pi)/1189])/1189,(30*Sqrt[1426]*Sin[(74*Pi)/1189])/1189,-361/1189
(Sqrt[348697]*Cos[(75*Pi)/1189])/1189,(Sqrt[348697]*Sin[(75*Pi)/1189])/1189,1032/1189
(2*Sqrt[352878]*Cos[(76*Pi)/1189])/1189,(2*Sqrt[352878]*Sin[(76*Pi)/1189])/1189,47/1189
(Sqrt[533877]*Cos[(77*Pi)/1189])/1189,(Sqrt[533877]*Sin[(77*Pi)/1189])/1189,-938/1189
(2*Sqrt[301674]*Cos[(78*Pi)/1189])/1189,(2*Sqrt[301674]*Sin[(78*Pi)/1189])/1189,455/1189
(3*Sqrt[125869]*Cos[(79*Pi)/1189])/1189,(3*Sqrt[125869]*Sin[(79*Pi)/1189])/1189,-530/1189
(6*Sqrt[18582]*Cos[(80*Pi)/1189])/1189,(6*Sqrt[18582]*Sin[(80*Pi)/1189])/1189,863/1189
(Sqrt[1398837]*Cos[(81*Pi)/1189])/1189,(Sqrt[1398837]*Sin[(81*Pi)/1189])/1189,-122/1189
(4*Sqrt[7]*Cos[(2*Pi)/29])/29,(4*Sqrt[7]*Sin[(2*Pi)/29])/29,-27/29
(5*Sqrt[53277]*Cos[(83*Pi)/1189])/1189,(5*Sqrt[53277]*Sin[(83*Pi)/1189])/1189,286/1189
(56*Sqrt[295]*Cos[(84*Pi)/1189])/1189,(56*Sqrt[295]*Sin[(84*Pi)/1189])/1189,-699/1189
